sep=,
"id","iname","price_pur","price1","price2","price3","price4","category","company","firstbalance","firstbalance_val","minbalance","img","active","ispack","scale","clr","siz","mdl","unit_name","unit_count","firstbalance_price","unit_id","min_price","sortin_cate","lastUpdate","ItemDiscription","expirtion_days","expirtion_days_alert","cate_id","isServiceItem","cost_id","id_inMainServer"
"1","تصوير","0.6","10","10","10","0.85","","","200000000","80000000","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"2","كارت مغناطيس سبوره","20","15","15","15","35","كارت مغناطيس سبوره","","10","175","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"3","قلم جيل باستيكه","20","10","10","10","30","علبه اقلام 12 قلم","","270","5400","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"4","قص ولزق مربع wydv","5","5","5","5","10","علبه 12 كارت","","200","1000","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"5","واصله ايفون lDNIO","16","30","30","30","30","واصله ايفون","","9","144","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"6","سماعه YISON","35","30","30","30","65","سماعه هاند فري","","146","5110","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"7","وصله سامسونج LDNIO","19","30","30","30","35","وصله سامسونج","","4","76","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"8","شاحن سامسونج كامل","25","30","30","30","55","شاحن سامسونج","","7","175","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"9","وصله  REMAX TYPE-C","12","30","30","30","35","وصله  REMAX TYPE-C","","7","84","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"10","وصله  REMAX IPHONE","12","30","30","30","25","وصله  REMAX IPHONE","","3","36","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"11","وصله  REMAX SAMSUNG","10","30","30","30","25","وصله  REMAX SAMSUNG","","9","90","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"12","شاحن كامل INKA","27","30","30","30","50","شاحن كامل INKA","","1","27","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"13","مكريفون مايك","35","30","30","30","85","مكريفون مايك","","1","35","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"14","مايك ميكريفون","35","85","85","85","85","مايك ميكريفون","","11","385","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"15","سماعه ايفون عاديه","25","40","40","40","40","سماعه ايفون عاديه","","3","75","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"16","ليزر و كشاف","20","40","40","40","35","ليزر وكشاف","","112","4560","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"17","فوم هدايا كور للكوب","0.5","40","40","40","2.5","فوم","","404","202","0","","True","False","False","0","0","0","","","","1","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"18","طباعه اطفال","2","40","40","40","3","طباعه اطفال","","45","90","0","","True","False","False","0","0","0","","","","1","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"19","شفاط زجاج كبير","15.5","40","40","40","20","شفاط زجاج كبير","","25","387.5","0","","True","False","False","0","0","0","","","","1","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"20","شمع كبير مسدس","6","40","40","40","10","شمع كبير مسدس","","50","4250","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"21","قلم جل GP-216","1.75","5","5","5","5","قلم جل GP-216","","109","190.75","0","","True","False","False","0","0","0","","","","1","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"22","استند قلم رصاص الوان","0.5","5","5","5","3","اقلام رصاص","","259","129.5","0","","True","False","False","0","0","0","","","","1","","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
"23","مسطره حديد 20 سم","6","5","5","5","10","مسطره حديد 20 سم","","15","301","0","","True","False","False","0","0","0","","","0","1","0","0","2/9/2026 3:53:06 PM","","0","0","","False","",""
